ori,sim
atis_flight_no,flight information
atis_airline,flight information
atis_airline#atis_flight_no,flight information
atis_airport,airport
atis_flight#atis_airfare,flight information
atis_airfare,flight information
atis_aircraft#atis_flight#atis_flight_no,flight information
atis_airfare#atis_flight_time,flight information
atis_aircraft,flight information
atis_flight,flight information
atis_flight_time,flight information
atis_ground_fare,ground service
atis_ground_service,ground service
atis_ground_service#atis_ground_fare,ground service
atis_city,city
atis_distance,distance
atis_cheapest,cost
atis_meal,meal
atis_quantity,quantity
atis_capacity,capacity
atis_restriction,restriction
atis_abbreviation,abbreviation
