"ori_labels","new_labels"
"return_time.period_mod","return time"
"month_name","time"
"time","time"
"depart_time.period_mod","depart time"
"arrive_date.month_name","arrive date"
"return_time.period_of_day","return time"
"toloc.city_name","to city"
"or","alternative"
"fare_basis_code","code"
"return_date.day_number","return date"
"depart_date.year","depart date"
"state_name","state name"
"city_name","city name"
"arrive_date.today_relative","arrive date relative"
"fare_amount","cost"
"return_date.date_relative","return date relative"
"cost_relative","cost relative"
"meal_description","meal"
"arrive_time.time_relative","arrive time relative"
"time_relative","time relative"
"arrive_date.day_name","arrive date"
"class_type","class type"
"stoploc.airport_name","stop airport"
"round_trip","round trip"
"airline_name","airline name"
"arrive_date.day_number","arrive date"
"fromloc.state_name","from state"
"flight_mod","flight mode"
"depart_time.time_relative","depart time relative"
"fromloc.state_code","from state code"
"depart_time.end_time","depart time"
"stoploc.state_code","stop state code"
"fromloc.airport_name","from airport"
"depart_time.period_of_day","depart time"
"return_date.day_name","return date"
"toloc.state_name","to state"
"arrive_time.start_time","arrive time"
"arrive_time.time","arrive time"
"depart_date.date_relative","depart date relative"
"aircraft_code","code"
"return_date.month_name","return date"
"transport_type","transport type"
"toloc.state_code","to state code"
"days_code","code"
"toloc.airport_name","to airport"
"return_date.today_relative","return date relative"
"state_code","code"
"airport_name","airport name"
"airline_code","code"
"flight_days","flight time"
"restriction_code","code"
"flight_time","flight time"
"stoploc.city_name","stop city"
"day_name","time"
"depart_date.day_name","depart date"
"depart_date.today_relative","depart date relative"
"meal","meal"
"mod","mod"
"toloc.country_name","to country"
"depart_time.time","depart time"
"toloc.airport_code","to airport code"
"airport_code","code"
"arrive_time.period_of_day","arrive time"
"day_number","time"
"depart_date.day_number","depart date"
"arrive_date.date_relative","arrive date relative"
"flight_number","flight number"
"today_relative","time relative"
"meal_code","code"
"arrive_time.period_mod","arrive time"
"period_of_day","time"
"flight_stop","flight stop"
"fromloc.airport_code","from airport code"
"depart_date.month_name","depart date"
"depart_time.start_time","depart time"
"fromloc.city_name","from city"
"economy","class"
"arrive_time.end_time","arrive time"
"connect","connect"
